199	NtOpenThreadToken
200	NtOpenThreadTokenEx
201	NtOpenTimer
202	NtOpenTransaction
203	NtOpenTransactionManager
204	NtPlugPlayControl
205	NtPowerInformation
206	NtPrepareComplete
207	NtPrepareEnlistment
208	NtPrePrepareComplete
209	NtPrePrepareEnlistment
210	NtPrivilegeCheck
211	NtPrivilegedServiceAuditAlarm
212	NtPrivilegeObjectAuditAlarm
213	NtPropagationComplete
214	NtPropagationFailed
215	NtProtectVirtualMemory
216	NtPulseEvent
217	NtQueryAttributesFile
218	NtQueryBootEntryOrder
219	NtQueryBootOptions
220	NtQueryDebugFilterState
221	NtQueryDefaultLocale
222	NtQueryDefaultUILanguage
223	NtQueryDirectoryFile
224	NtQueryDirectoryObject
225	NtQueryDriverEntryOrder
226	NtQueryEaFile
227	NtQueryEvent
228	NtQueryFullAttributesFile
229	NtQueryInformationAtom
230	NtQueryInformationEnlistment
231	NtQueryInformationFile
232	NtQueryInformationJobObject
233	NtQueryInformationPort
234	NtQueryInformationProcess
235	NtQueryInformationResourceManager
236	NtQueryInformationThread
237	NtQueryInformationToken
238	NtQueryInformationTransaction
239	NtQueryInformationTransactionManager
240	NtQueryInformationWorkerFactory
241	NtQueryInstallUILanguage
242	NtQueryIntervalProfile
243	NtQueryIoCompletion
244	NtQueryKey
245	NtQueryLicenseValue
246	NtQueryMultipleValueKey
247	NtQueryMutant
248	NtQueryObject
249	NtQueryOpenSubKeys
250	NtQueryOpenSubKeysEx
251	NtQueryPerformanceCounter
252	NtQueryPortInformationProcess
253	NtQueryQuotaInformationFile
254	NtQuerySection
255	NtQuerySecurityAttributesToken
256	NtQuerySecurityObject
257	NtQuerySemaphore
258	NtQuerySymbolicLinkObject
259	NtQuerySystemEnvironmentValue
260	NtQuerySystemEnvironmentValueEx
261	NtQuerySystemInformation
262	NtQuerySystemInformationEx
263	NtQuerySystemTime
264	NtQueryTimer
265	NtQueryTimerResolution
266	NtQueryValueKey
267	NtQueryVirtualMemory
268	NtQueryVolumeInformationFile
269	NtQueueApcThread
270	NtQueueApcThreadEx
271	NtRaiseException
272	NtRaiseHardError
273	NtReadFile
274	NtReadFileScatter
275	NtReadOnlyEnlistment
276	NtReadRequestData
277	NtReadVirtualMemory
278	NtRecoverEnlistment
279	NtRecoverResourceManager
280	NtRecoverTransactionManager
281	NtRegisterProtocolAddressInformation
282	NtRegisterThreadTerminatePort
283	NtReleaseKeyedEvent
284	NtReleaseMutant
285	NtReleaseSemaphore
286	NtReleaseWorkerFactoryWorker
287	NtRemoveIoCompletion
288	NtRemoveIoCompletionEx
289	NtRemoveProcessDebug
290	NtRenameKey
291	NtRenameTransactionManager
292	NtReplaceKey
293	NtReplacePartitionUnit
294	NtReplyPort
295	NtReplyWaitReceivePort
296	NtReplyWaitReceivePortEx
297	NtReplyWaitReplyPort
298	NtRequestPort
299	NtRequestWaitReplyPort
300	NtResetEvent
301	NtResetWriteWatch
302	NtRestoreKey
303	NtResumeProcess
304	NtResumeThread
305	NtRollbackComplete
306	NtRollbackEnlistment
307	NtRollbackTransaction
308	NtRollforwardTransactionManager
309	NtSaveKey
310	NtSaveKeyEx
311	NtSaveMergedKeys
312	NtSecureConnectPort
313	NtSerializeBoot
314	NtSetBootEntryOrder
315	NtSetBootOptions
316	NtSetContextThread
317	NtSetDebugFilterState
318	NtSetDefaultHardErrorPort
319	NtSetDefaultLocale
320	NtSetDefaultUILanguage
321	NtSetDriverEntryOrder
322	NtSetEaFile
323	NtSetEvent
324	NtSetEventBoostPriority
325	NtSetHighEventPair
326	NtSetHighWaitLowEventPair
327	NtSetInformationDebugObject
328	NtSetInformationEnlistment
329	NtSetInformationFile
330	NtSetInformationJobObject
331	NtSetInformationKey
332	NtSetInformationObject
333	NtSetInformationProcess
334	NtSetInformationResourceManager
335	NtSetInformationThread
336	NtSetInformationToken
337	NtSetInformationTransaction
338	NtSetInformationTransactionManager
339	NtSetInformationWorkerFactory
340	NtSetIntervalProfile
341	NtSetIoCompletion
342	NtSetIoCompletionEx
343	NtSetLdtEntries
344	NtSetLowEventPair
345	NtSetLowWaitHighEventPair
346	NtSetQuotaInformationFile
347	NtSetSecurityObject
348	NtSetSystemEnvironmentValue
349	NtSetSystemEnvironmentValueEx
350	NtSetSystemInformation
351	NtSetSystemPowerState
352	NtSetSystemTime
353	NtSetThreadExecutionState
354	NtSetTimer
355	NtSetTimerEx
356	NtSetTimerResolution
357	NtSetUuidSeed
358	NtSetValueKey
359	NtSetVolumeInformationFile
360	NtShutdownSystem
361	NtShutdownWorkerFactory
362	NtSignalAndWaitForSingleObject
363	NtSinglePhaseReject
364	NtStartProfile
365	NtStopProfile
366	NtSuspendProcess
367	NtSuspendThread
368	NtSystemDebugControl
369	NtTerminateJobObject
370	NtTerminateProcess
371	NtTerminateThread
372	NtTestAlert
373	NtThawRegistry
374	NtThawTransactions
375	NtTraceControl
376	NtTraceEvent
377	NtTranslateFilePath
378	NtUmsThreadYield
379	NtUnloadDriver
380	NtUnloadKey
381	NtUnloadKey2
382	NtUnloadKeyEx
383	NtUnlockFile
384	NtUnlockVirtualMemory
385	NtUnmapViewOfSection
386	NtVdmControl
387	NtWaitForDebugEvent
388	NtWaitForKeyedEvent
389	NtWaitForMultipleObjects
390	NtWaitForMultipleObjects32
391	NtWaitForSingleObject
392	NtWaitForWorkViaWorkerFactory
393	NtWaitHighEventPair
394	NtWaitLowEventPair
395	NtWorkerFactoryWorkerReady
396	NtWriteFile
397	NtWriteFileGather
398	NtWriteRequestData
399	NtWriteVirtualMemory
400	NtYieldExecution
4096	NtGdiAbortDoc
4097	NtGdiAbortPath
4098	NtGdiAddFontResourceW
4099	NtGdiAddRemoteFontToDC
4100	NtGdiAddFontMemResourceEx
4101	NtGdiRemoveMergeFont
4102	NtGdiAddRemoteMMInstanceToDC
4103	NtGdiAlphaBlend
4104	NtGdiAngleArc
4105	NtGdiAnyLinkedFonts
4106	NtGdiFontIsLinked
4107	NtGdiArcInternal
4108	NtGdiBeginGdiRendering
4109	NtGdiBeginPath
4110	NtGdiBitBlt
4111	NtGdiCancelDC
4112	NtGdiCheckBitmapBits
4113	NtGdiCloseFigure
